"player","team","pos","country","season","tier"
"Pat Jennings","Tottenham Hotspur","GK","Northern Ireland",1973,1
"Paul Madeley","Leeds United","DF","England",1973,1
"Roy McFarland","Derby County","DF","England",1973,1
"Norman Hunter","Leeds United","DF","England",1973,1
"Colin Todd","Derby County","DF","England",1973,1
"Billy Bremner","Leeds United","MF","Scotland",1973,1
"Tony Currie","Sheffield United","MF","England",1973,1
"Johnny Giles","Leeds United","MF","Republic of Ireland",1973,1
"Mick Channon","Southampton","FW","England",1973,1
"Malcolm Macdonald","Newcastle United","FW","England",1973,1
"Allan Clarke","Leeds United","FW","England",1973,1
"Bryan King","Millwall","GK","England",1973,2
"John Craggs","Middlesbrough","DF","England",1973,2
"Dave Watson","Sunderland","DF","England",1973,2
"Willie Maddren","Middlesbrough","DF","England",1973,2
"John Gorman","Carlisle United","DF","Scotland",1973,2
"Bruce Rioch","Aston Villa","MF","Scotland",1973,2
"Don Masson","Notts County","MF","Scotland",1973,2
"Asa Hartford","West Bromwich Albion","MF","Scotland",1973,2
"Dennis Tueart","Sunderland","FW","England",1973,2
"Duncan McKenzie","Nottingham Forest","FW","England",1973,2
"Don Rogers","Swindon Town","FW","England",1973,2
"Roger Jones","Blackburn Rovers","GK","England",1973,3
"Ian Wood","Oldham Athletic","DF","England",1973,3
"Mel Machin","Bournemouth","DF","England",1973,3
"Barry Swallow","York City","DF","England",1973,3
"Colin Sullivan","Plymouth Argyle","DF","England",1973,3
"Ernie Machin","Plymouth Argyle","MF","England",1973,3
"Alan Durban","Shrewsbury Town","MF","Wales",1973,3
"Barry Lyons","York City","MF","England",1973,3
"Bruce Bannister","Bristol Rovers","FW","England",1973,3
"Alan Warboys","Bristol Rovers","FW","England",1973,3
"Phil Boyer","Bournemouth","FW","England",1973,3
"Steve Death","Reading","GK","England",1973,4
"Ian Branfoot","Lincoln City","DF","England",1973,4
"John Hulme","Reading","DF","England",1973,4
"Jimmy Giles","Exeter City","DF","England",1973,4
"David Peach","Gillingham","DF","England",1973,4
"Fred Hill","Peterborough United","MF","England",1973,4
"Paul Walker","Peterborough United","MF","England",1973,4
"Brian Godfrey","Newport County","MF","Wales",1973,4
"Fred Binney","Exeter City","FW","England",1973,4
"Jim Hall","Peterborough United","FW","England",1973,4
"Brian Yeo","Gillingham","FW","England",1973,4
"Peter Shilton","Stoke City","GK","England",1974,1
"Paul Madeley","Leeds United","DF","England",1974,1
"Gordon McQueen","Leeds United","DF","Scotland",1974,1
"Colin Todd","Derby County","DF","England",1974,1
"Kevin Beattie","Ipswich Town","DF","England",1974,1
"Billy Bonds","West Ham United","MF","England",1974,1
"Colin Bell","Manchester City","MF","England",1974,1
"Alan Hudson","Stoke City","MF","England",1974,1
"Duncan McKenzie","Leeds United","FW","England",1974,1
"Bob Latchford","Everton","FW","England",1974,1
"Leighton James","Burnley","FW","Wales",1974,1
"Bryan King","Millwall","GK","England",1974,2
"John Gidman","Aston Villa","DF","England",1974,2
"Dave Watson","Sunderland","DF","England",1974,2
"Martin Buchan","Manchester United","DF","Scotland",1974,2
"Stewart Houston","Manchester United","DF","Scotland",1974,2
